ID,TEAM A,TEAM B
qbqdye,Brooklyn Nets,Milwaukee Bucks
qbt3vc,Golden State Warriors,Los Angeles Lakers
qcgd37,Indiana Pacers,Charlotte Hornets
qcg6uk,Chicago Bulls,Detroit Pistons
qchno6,New York Knicks,Boston Celtics
qcgydn,Washington Wizards,Toronto Raptors
qch9vm,Cleveland Cavaliers,Memphis Grizzlies
qchgl0,Minnesota Timberwolves,Houston Rockets
qchim7,Philadelphia 76ers,New Orleans Pelicans
qchun8,San Antonio Spurs,Orlando Magic
qcich1,Utah Jazz,Oklahoma City Thunder
qcjlx8,Sacramento Kings,Portland Trail Blazers
qcjj5a,Denver Nuggets,Phoenix Suns
qd6jcz,Dallas Mavericks,Atlanta Hawks
qd7g24,Milwaukee Bucks,Miami Heat
qd9f6l,Golden State Warriors,Los Angeles Clippers
qdrcbo,Orlando Magic,New York Knicks
qdvb7q,Indiana Pacers,Washington Wizards
qduupf,Cleveland Cavaliers,Charlotte Hornets
qdvbub,Boston Celtics,Toronto Raptors
qdvnvq,Brooklyn Nets,Philadelphia 76ers
qdvtuh,Oklahoma City Thunder,Houston Rockets
qdvv3t,Chicago Bulls,New Orleans Pelicans
qdwvwc,Denver Nuggets,San Antonio Spurs
qdxw4k,Phoenix Suns,Los Angeles Lakers
qdxv64,Sacramento Kings,Utah Jazz
qeh7ns,Atlanta Hawks,Cleveland Cavaliers
qeiegv,Miami Heat,Indiana Pacers
qeijgk,Toronto Raptors,Dallas Mavericks
qeiz0f,Detroit Pistons,Chicago Bulls
qej4o9,Minnesota Timberwolves,New Orleans Pelicans
qejjyw,Milwaukee Bucks,San Antonio Spurs
qekn8k,Portland Trail Blazers,Phoenix Suns
qelbmx,Los Angeles Clippers,Memphis Grizzlies
qf2jvt,Brooklyn Nets,Charlotte Hornets
qf685a,Houston Rockets,Boston Celtics
qf67oy,Orlando Magic,New York Knicks
qf5uhk,Oklahoma City Thunder,Philadelphia 76ers
qf824r,Golden State Warriors,Sacramento Kings
qf8mcj,Los Angeles Lakers,Memphis Grizzlies
qfvpem,Boston Celtics,Charlotte Hornets
qfw15h,Milwaukee Bucks,Indiana Pacers
qfw07l,Toronto Raptors,Chicago Bulls
qfvxh2,Miami Heat,Orlando Magic
qfw2jc,Brooklyn Nets,Washington Wizards
qfvvxe,Atlanta Hawks,Detroit Pistons
qfwigd,Minnesota Timberwolves,New Orleans Pelicans
qfxf4d,Cleveland Cavaliers,Denver Nuggets
qfyxw6,Portland Trail Blazers,Los Angeles Clippers
qglrvl,New York Knicks,Philadelphia 76ers
qgmbgn,Golden State Warriors,Oklahoma City Thunder
qgn48q,San Antonio Spurs,Los Angeles Lakers
qgmx61,Dallas Mavericks,Houston Rockets
qgojwa,Denver Nuggets,Utah Jazz
qhbliy,Charlotte Hornets,Orlando Magic
qhccpy,Washington Wizards,Boston Celtics
qhc732,Brooklyn Nets,Miami Heat
qhcb7b,Toronto Raptors,Indiana Pacers
qhcecs,Atlanta Hawks,New Orleans Pelicans
qhcsd8,Minnesota Timberwolves,Milwaukee Bucks
qhcynl,Oklahoma City Thunder,Los Angeles Lakers
qher87,Sacramento Kings,Phoenix Suns
qhexqx,Portland Trail Blazers,Memphis Grizzlies
qhf6uw,Cleveland Cavaliers,Los Angeles Clippers
qi1kr1,Washington Wizards,Atlanta Hawks
qi2tei,Detroit Pistons,Philadelphia 76ers
qi2kvx,Utah Jazz,Houston Rockets
qi2ogm,New York Knicks,Chicago Bulls
qi2zfe,San Antonio Spurs,Dallas Mavericks
qi4r1t,Golden State Warriors,Memphis Grizzlies
qir4tt,Toronto Raptors,Orlando Magic
qirni7,Miami Heat,Charlotte Hornets
qirq0h,Brooklyn Nets,Indiana Pacers
qis2xg,Sacramento Kings,New Orleans Pelicans
