Player,Pos,Neg,PPerc,NPerc
trae young,73,24,0.75,0.25
john collins,7,4,0.64,0.36
cam reddish,26,4,0.87,0.13
clint capela,0,2,0.0,1.0
bogdan bogdanovic,2,1,0.67,0.33
kevin huerter,6,2,0.75,0.25
gorgui dieng,0,1,0.0,1.0
danilo gallinari,0,1,0.0,1.0
de'andre hunter,8,1,0.89,0.11
lou williams,4,3,0.57,0.43
solomon hill,4,2,0.67,0.33
jalen johnson,0,1,0.0,1.0
jayson tatum,76,42,0.64,0.36
dennis schroder,26,5,0.84,0.16
grant williams,10,3,0.77,0.23
marcus smart,15,12,0.56,0.44
robert williams,0,1,0.0,1.0
payton pritchard,0,1,0.0,1.0
al horford,8,4,0.67,0.33
josh richardson,0,1,0.0,1.0
aaron nesmith,6,1,0.86,0.14
romeo langford,0,2,0.0,1.0
jaylen brown,28,10,0.74,0.26
jabari parker,3,1,0.75,0.25
enes kanter,3,1,0.75,0.25
sam hauser,5,5,0.5,0.5
kevin durant,34,9,0.79,0.21
james harden,126,31,0.8,0.2
patty mills,38,7,0.84,0.16
jevon carter,0,4,0.0,1.0
lamarcus aldridge,7,2,0.78,0.22
bruce brown,0,4,0.0,1.0
blake griffin,7,4,0.64,0.36
deandre' bembry,0,1,0.0,1.0
joe harris,6,4,0.6,0.4
cameron thomas,0,4,0.0,1.0
day'ron sharpe,0,1,0.0,1.0
nicolas claxton,0,3,0.0,1.0
kyrie irving,18,8,0.69,0.31
miles bridges,48,15,0.76,0.24
lamelo ball,87,34,0.72,0.28
gordon hayward,3,3,0.5,0.5
kelly oubre jr,33,13,0.72,0.28
cody martin,0,4,0.0,1.0
mason plumlee,3,3,0.5,0.5
jalen mcdaniels,3,1,0.75,0.25
ish smith,10,5,0.67,0.33
nick richards,0,7,0.0,1.0
terry rozier,15,9,0.62,0.38
james bouknight,0,8,0.0,1.0
kai jones,0,1,0.0,1.0
jt thor,0,1,0.0,1.0
demar derozan,141,33,0.81,0.19
zach lavine,83,22,0.79,0.21
lonzo ball,81,21,0.79,0.21
alex caruso,40,9,0.82,0.18
javonte green,6,4,0.6,0.4
ayo dosunmu,39,13,0.75,0.25
tony bradley,0,8,0.0,1.0
nikola vucevic,7,4,0.64,0.36
derrick jones jr,4,1,0.8,0.2
troy brown jr,2,1,0.67,0.33
alize johnson,0,2,0.0,1.0
patrick williams,0,5,0.0,1.0
matt thomas,1,1,0.5,0.5
coby white,3,2,0.6,0.4
ricky rubio,81,12,0.87,0.13
evan mobley,147,35,0.81,0.19
cedi osman,6,3,0.67,0.33
darius garland,12,2,0.86,0.14
jarrett allen,23,9,0.72,0.28
dean wade,5,1,0.83,0.17
dylan windler,1,1,0.5,0.5
collin sexton,15,5,0.75,0.25
denzel valentine,2,1,0.67,0.33
isaac okoro,0,2,0.0,1.0
lamar stevens,1,1,0.5,0.5
lauri markkanen,6,5,0.55,0.45
kevin love,34,1,0.97,0.03
tacko fall,0,3,0.0,1.0
ed davis,3,1,0.75,0.25
kevin pangos,0,1,0.0,1.0
rj nembhard,0,1,0.0,1.0
jalen brunson,43,15,0.74,0.26
tim hardaway jr,41,17,0.71,0.29
dwight powell,5,2,0.71,0.29
reggie bullock,9,1,0.9,0.1
willie cauley-stein,0,1,0.0,1.0
luka doncic,86,45,0.66,0.34
frank ntilikina,7,1,0.88,0.12
sterling brown,0,1,0.0,1.0
kristaps porzingis,15,3,0.83,0.17
boban marjanovic,0,5,0.0,1.0
josh green,2,1,0.67,0.33
maxi kleber,0,6,0.0,1.0
aaron gordon,10,5,0.67,0.33
monte morris,20,20,0.5,0.5
jeff green,7,5,0.58,0.42
pj dozier,26,14,0.65,0.35
jamychal green,0,1,0.0,1.0
nikola jokic,112,41,0.73,0.27
facundo campazzo,0,3,0.0,1.0
will barton,24,5,0.83,0.17
austin rivers,0,2,0.0,1.0
bones hyland,20,2,0.91,0.09
michael porter jr,5,2,0.71,0.29
zeke nnaji,1,1,0.5,0.5
bol bol,4,1,0.8,0.2
jamal murray,8,1,0.89,0.11
saddiq bey,5,2,0.71,0.29
isaiah stewart,0,1,0.0,1.0
frank jackson,0,1,0.0,1.0
cory joseph,5,1,0.83,0.17
jerami grant,9,4,0.69,0.31
josh jackson,0,2,0.0,1.0
killian hayes,12,11,0.52,0.48
kelly olynyk,3,1,0.75,0.25
cade cunningham,51,13,0.8,0.2
hamidou diallo,0,1,0.0,1.0
luka garza,4,2,0.67,0.33
rodney mcgruder,0,1,0.0,1.0
saben lee,0,1,0.0,1.0
chris smith,0,2,0.0,1.0
stephen curry,110,41,0.73,0.27
andrew wiggins,56,22,0.72,0.28
jordan poole,43,10,0.81,0.19
draymond green,21,7,0.75,0.25
nemanja bjelica,20,1,0.95,0.05
gary payton ii,22,7,0.76,0.24
kevon looney,10,4,0.71,0.29
otto porter,3,3,0.5,0.5
juan toscano anderson,0,2,0.0,1.0
andre iguodala,4,1,0.8,0.2
damion lee,4,2,0.67,0.33
moses moody,3,1,0.75,0.25
jonathan kuminga,19,1,0.95,0.05
chris chiozza,6,2,0.75,0.25
james wiseman,7,3,0.7,0.3
klay thompson,21,6,0.78,0.22
christian wood,6,6,0.5,0.5
jalen green,29,28,0.51,0.49
jae'sean tate,2,1,0.67,0.33
kevin porter jr,3,2,0.6,0.4
alperen sengun,10,3,0.77,0.23
kenyon martin jr,0,2,0.0,1.0
david nwaba,0,1,0.0,1.0
daniel theis,4,2,0.67,0.33
eric gordon,3,2,0.6,0.4
danuel house,0,1,0.0,1.0
usman garuba,0,1,0.0,1.0
john wall,0,2,0.0,1.0
domantas sabonis,13,6,0.68,0.32
myles turner,24,4,0.86,0.14
tj mcconnell,12,5,0.71,0.29
justin holiday,0,2,0.0,1.0
torrey craig,0,3,0.0,1.0
chris duarte,13,2,0.87,0.13
jeremy lamb,2,1,0.67,0.33
malcolm brogdon,0,4,0.0,1.0
goga bitadze,0,1,0.0,1.0
caris levert,4,2,0.67,0.33
oshae brissett,0,1,0.0,1.0
brad wanamaker,0,1,0.0,1.0
duane washington jr,0,3,0.0,1.0
paul george,25,5,0.83,0.17
reggie jackson,14,2,0.88,0.12
