TEAM,PLAYER
Atlanta Hawks,Trae Young
Atlanta Hawks,John Collins
Atlanta Hawks,Cam Reddish
Atlanta Hawks,Clint Capela
Atlanta Hawks,Bogdan Bogdanovic
Atlanta Hawks,Kevin Huerter
Atlanta Hawks,Gorgui Dieng
Atlanta Hawks,Delon Wright
Atlanta Hawks,Danilo Gallinari
Atlanta Hawks,De'Andre Hunter
Atlanta Hawks,Lou Williams
Atlanta Hawks,Timothe Luwawu Cabarrot
Atlanta Hawks,Solomon Hill
Atlanta Hawks,Skylar Mays 
Atlanta Hawks,Jalen Johnson
Atlanta Hawks,Sharife Cooper 
Atlanta Hawks,Onyeka Okongwu
Boston Celtics,Jayson Tatum
Boston Celtics,Dennis Schroder
Boston Celtics,Grant Williams
Boston Celtics,Marcus Smart
Boston Celtics,Robert Williams
Boston Celtics,Payton Pritchard
Boston Celtics,Al Horford
Boston Celtics,Josh Richardson
Boston Celtics,Aaron Nesmith
Boston Celtics,Romeo Langford
Boston Celtics,Jaylen Brown
Boston Celtics,Juan Hernangómez
Boston Celtics,Jabari Parker
Boston Celtics,Enes Kanter
Boston Celtics,Bruno Fernando
Boston Celtics,Brodric Thomas
Boston Celtics,Sam Hauser
Brooklyn Nets,Kevin Durant
Brooklyn Nets,James Harden
Brooklyn Nets,Patty Mills
Brooklyn Nets,Jevon Carter
Brooklyn Nets,LaMarcus Aldridge
Brooklyn Nets,Bruce Brown
Brooklyn Nets,Blake Griffin
Brooklyn Nets,DeAndre' Bembry
Brooklyn Nets,Joe Harris
Brooklyn Nets,Paul Millsap
Brooklyn Nets,Cameron Thomas
Brooklyn Nets,James Johnson
Brooklyn Nets,Day'Ron Sharpe
Brooklyn Nets,Nicolas Claxton
Brooklyn Nets,Kessler Edwards
Brooklyn Nets,Kyrie Irving
Brooklyn Nets,David Duke
Charlotte Hornets,Miles Bridges
Charlotte Hornets,LaMelo Ball
Charlotte Hornets,Gordon Hayward
Charlotte Hornets,Kelly Oubre Jr
Charlotte Hornets,Cody Martin
Charlotte Hornets,Mason Plumlee
Charlotte Hornets,Jalen McDaniels
Charlotte Hornets,Ish Smith
Charlotte Hornets,Nick Richards
Charlotte Hornets,Terry Rozier
Charlotte Hornets,P.J. Washington
