Team,Pos,Neg,PPerc,NPerc
atlanta hawks,188,86,0.69,0.31
boston celtics,307,136,0.69,0.31
brooklyn nets,314,111,0.74,0.26
charlotte hornets,301,102,0.75,0.25
chicago bulls,653,185,0.78,0.22
cleveland cavaliers,367,86,0.81,0.19
dallas mavericks,233,91,0.72,0.28
denver nuggets,286,114,0.71,0.28
detroit pistons,132,56,0.7,0.3
golden state warriors,490,162,0.75,0.25
houston rockets,119,58,0.67,0.33
indiana pacers,127,51,0.71,0.29
los angeles clippers,181,73,0.71,0.29
los angeles lakers,577,267,0.68,0.32
memphis grizzlies,169,63,0.73,0.27
miami heat,314,131,0.71,0.29
milwaukee bucks,260,66,0.8,0.2
minnesota timberwolves,82,35,0.7,0.3
new orleans pelicans,120,68,0.64,0.36
new york knicks,314,100,0.76,0.24
oklahoma city thunder,92,35,0.72,0.28
orlando magic,233,68,0.77,0.23
philadelphia 76ers,237,97,0.71,0.29
phoenix suns,143,49,0.74,0.26
portland trail blazers,131,69,0.66,0.34
sacramento kings,187,80,0.7,0.3
san antonio spurs,103,36,0.74,0.26
toronto raptors,322,94,0.77,0.23
utah jazz,103,37,0.74,0.26
washington wizards,208,46,0.82,0.18
